channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,screen,1,adaptive_lite,2048,64,0.25,3,10,10,0,5,20,2,1208,19,0.95,24160,1,4.139072847682119e-5,0,0.12714024310000002,1324.1538461538462
red1,1,screen,3,standard,2048,32,0.5,5,10,8,2,5,20,2,2921,0,0.0,58420,19027,0.32569325573433755,0,0.07093959799999999,0.0
red1,1,screen,3,lite,2048,32,0.5,5,10,8,2,5,20,2,2921,6,0.3,58420,4217,0.07218418349880178,0,0.1397013078,1018.953488372093
red1,1,screen,3,adaptive_lite,2048,32,0.5,5,10,8,2,5,20,2,2921,6,0.3,58420,4217,0.07218418349880178,0,0.15772992035000002,1018.953488372093
red1,1,screen,3,standard,2048,32,0.25,3,3,8,1,5,20,1,437,2,0.1,8740,1793,0.2051487414187643,0,0.049189287250000005,67.92746113989637
red1,1,screen,3,lite,2048,32,0.25,3,3,8,1,5,20,1,437,20,1.0,8740,0,0.0,0,0.06437208700000001,679.2746113989637
red1,1,screen,3,adaptive_lite,2048,32,0.25,3,3,8,1,5,20,1,437,20,1.0,8740,0,0.0,0,0.09338687525,679.2746113989637
red1,1,screen,3,standard,2048,64,0.5,5,10,8,4,5,20,4,5859,0,0.0,117180,38310,0.32693292370711724,0,0.14006529175,0.0
red1,1,screen,3,lite,2048,64,0.5,5,10,8,4,5,20,4,5859,3,0.15,117180,9273,0.07913466461853559,0,0.26030483974999996,672.5892857142858
red1,1,screen,3,adaptive_lite,2048,64,0.5,5,10,8,4,5,20,4,5859,3,0.15,117180,9273,0.07913466461853559,0,0.34384004315000005,672.5892857142858
red1,1,screen,2,standard,2048,128,0.25,3,8,10,4,5,20,4,2364,1,0.05,47280,11137,0.23555414551607445,0,0.10927573595,88.64999999999999
red1,1,screen,2,lite,2048,128,0.25,3,8,10,4,5,20,4,2364,20,1.0,47280,0,0.0,0,0.19388513624999998,1773.0
red1,1,screen,2,adaptive_lite,2048,128,0.25,3,8,10,4,5,20,4,2364,20,1.0,47280,0,0.0,0,0.2722021678,1773.0
red1,1,screen,2,standard,2048,128,0.25,5,3,10,4,5,20,4,2160,0,0.0,43200,11135,0.25775462962962964,0,0.12461049615000001,0.0
red1,1,screen,2,lite,2048,128,0.25,5,3,10,4,5,20,4,2160,18,0.9,43200,2,4.6296296296296294e-5,0,0.22469284530000003,1458.0
red1,1,screen,2,adaptive_lite,2048,128,0.25,5,3,10,4,5,20,4,2160,18,0.9,43200,2,4.6296296296296294e-5,0,0.3049910882,1458.0
red1,1,screen,3,standard,2048,32,0.5,4,3,8,1,5,20,1,1002,0,0.0,20040,5987,0.29875249500998,0,0.032676228050000006,0.0
red1,1,screen,3,lite,2048,32,0.5,4,3,8,1,5,20,1,1002,2,0.1,20040,2791,0.13927145708582833,0,0.045002015549999996,155.75129533678756
red1,1,screen,3,adaptive_lite,2048,32,0.5,4,3,8,1,5,20,1,1002,2,0.1,20040,2791,0.13927145708582833,0,0.06814525419999999,155.75129533678756
red1,1,screen,3,standard,2048,0,0.125,3,3,8,1,5,20,1,210,4,0.2,4200,577,0.13738095238095238,0,0.03816357185,65.625
red1,1,screen,3,lite,2048,0,0.125,3,3,8,1,5,20,1,210,19,0.95,4200,1,0.0002380952380952381,0,0.05145615765,311.71875
red1,1,screen,3,adaptive_lite,2048,0,0.125,3,3,8,1,5,20,1,210,19,0.95,4200,1,0.0002380952380952381,0,0.057240500949999995,311.71875
red1,1,screen,1,standard,512,16,0.5,8,5,10,0,5,20,10,3504,4,0.2,70080,9954,0.14203767123287672,0,0.10560270460000001,717.5426621160409
red1,1,screen,1,lite,512,16,0.5,8,5,10,0,5,20,10,3504,0,0.0,70080,23571,0.3363441780821918,0,0.140245581,0.0
red1,1,screen,1,adaptive_lite,512,16,0.5,8,5,10,0,5,20,10,3504,0,0.0,70080,22056,0.3147260273972603,0,0.19816981969999997,0.0
red1,1,screen,2,standard,2048,128,0.25,5,10,6,4,5,20,4,2921,0,0.0,58420,14295,0.24469359808284835,0,0.09973259804999998,0.0
red1,1,screen,2,lite,2048,128,0.25,5,10,6,4,5,20,4,2921,5,0.25,58420,79,0.0013522766175967135,0,0.19199491690000003,547.6875
red1,1,screen,2,adaptive_lite,2048,128,0.25,5,10,6,4,5,20,4,2921,5,0.25,58420,79,0.0013522766175967135,0,0.23632991175,547.6875
red1,1,screen,1,standard,1024,32,0.25,3,10,10,0,5,20,5,1514,12,0.6,30280,39,0.0012879788639365917,0,0.0958115877,930.1023890784982
red1,1,screen,1,lite,1024,32,0.25,3,10,10,0,5,20,5,1514,18,0.9,30280,2,6.605019815059445e-5,0,0.14491492294999997,1395.1535836177472
red1,1,screen,1,adaptive_lite,1024,32,0.25,3,10,10,0,5,20,5,1514,19,0.95,30280,1,3.3025099075297225e-5,0,0.17151757699999998,1472.6621160409554
red1,1,screen,2,standard,2048,128,0.25,3,4,3,0,5,20,2,1004,0,0.0,20080,4087,0.20353585657370518,0,0.07365554615,0.0
red1,1,screen,2,lite,2048,128,0.25,3,4,3,0,5,20,2,1004,0,0.0,20080,181,0.00901394422310757,0,0.089953435,0.0
red1,1,screen,2,adaptive_lite,2048,128,0.25,3,4,3,0,5,20,2,1004,0,0.0,20080,181,0.00901394422310757,0,0.12489383714999999,0.0
red1,1,screen,2,standard,2048,128,0.25,5,5,10,4,5,20,4,2595,0,0.0,51900,14090,0.27148362235067436,0,0.11645790640000002,0.0
red1,1,screen,2,lite,2048,128,0.25,5,5,10,4,5,20,4,2595,19,0.95,51900,2,3.853564547206166e-5,0,0.1973086294,1848.9375
red1,1,screen,2,adaptive_lite,2048,128,0.25,5,5,10,4,5,20,4,2595,19,0.95,51900,2,3.853564547206166e-5,0,0.26675197005,1848.9375
red1,1,screen,3,standard,2048,32,0.5,4,5,8,1,5,20,1,1206,0,0.0,24120,7531,0.31223051409618574,0,0.04133028835,0.0
red1,1,screen,3,lite,2048,32,0.5,4,5,8,1,5,20,1,1206,3,0.15,24120,2822,0.1169983416252073,0,0.05607912350000001,281.19170984455957
red1,1,screen,3,adaptive_lite,2048,32,0.5,4,5,8,1,5,20,1,1206,3,0.15,24120,2822,0.1169983416252073,0,0.0901953197,281.19170984455957
red1,1,screen,3,standard,1024,32,0.5,5,10,8,4,5,20,4,2921,2,0.1,58420,8129,0.1391475522081479,0,0.06896153935,337.03846153846155
red1,1,screen,3,lite,1024,32,0.5,5,10,8,4,5,20,4,2921,4,0.2,58420,8240,0.14104758644299897,0,0.1178099748,674.0769230769231
red1,1,screen,3,adaptive_lite,1024,32,0.5,5,10,8,4,5,20,4,2921,4,0.2,58420,6300,0.10783978089695309,0,0.14345072725000002,674.0769230769231
red1,1,screen,1,standard,2048,64,0.5,5,10,10,0,5,20,2,2921,0,0.0,58420,19155,0.327884286203355,0,0.08428622699999999,0.0
red1,1,screen,1,lite,2048,64,0.5,5,10,10,0,5,20,2,2921,2,0.1,58420,7585,0.12983567271482369,0,0.14854724965,337.03846153846155
red1,1,screen,1,adaptive_lite,2048,64,0.5,5,10,10,0,5,20,2,2921,2,0.1,58420,7600,0.13009243409791169,0,0.19941309399999999,337.03846153846155
red1,1,screen,2,standard,1024,64,0.5,8,8,3,0,5,20,5,3869,0,0.0,77380,8279,0.10699147066425432,0,0.09574855965000001,0.0
red1,1,screen,2,lite,1024,64,0.5,8,8,3,0,5,20,5,3869,0,0.0,77380,8117,0.10489790643577152,0,0.1285294532,0.0
red1,1,screen,2,adaptive_lite,1024,64,0.5,8,8,3,0,5,20,5,3869,0,0.0,77380,6600,0.08529335745670716,0,0.1476615777,0.0
red1,1,screen,3,standard,2048,32,0.5,3,8,8,1,5,20,1,1174,0,0.0,23480,7162,0.30502555366269163,0,0.0491639198,0.0
red1,1,screen,3,lite,2048,32,0.5,3,8,8,1,5,20,1,1174,9,0.45,23480,1052,0.04480408858603067,0,0.05657102039999999,821.1917098445596
red1,1,screen,3,adaptive_lite,2048,32,0.5,3,8,8,1,5,20,1,1174,9,0.45,23480,1052,0.04480408858603067,0,0.0634041197,821.1917098445596
red1,1,screen,2,standard,2048,128,0.25,8,4,10,4,5,20,4,2660,0,0.0,53200,14023,0.26359022556390976,0,0.14303196075,0.0
red1,1,screen,2,lite,2048,128,0.25,8,4,10,4,5,20,4,2660,11,0.55,53200,12,0.0002255639097744361,0,0.23832625859999998,1097.25
red1,1,screen,2,adaptive_lite,2048,128,0.25,8,4,10,4,5,20,4,2660,11,0.55,53200,12,0.0002255639097744361,0,0.34802229984999994,1097.25
red1,1,screen,3,standard,2048,32,0.5,5,3,8,1,5,20,1,1072,0,0.0,21440,6893,0.3215018656716418,0,0.040992732000000004,0.0
red1,1,screen,3,lite,2048,32,0.5,5,3,8,1,5,20,1,1072,10,0.5,21440,924,0.043097014925373135,0,0.05785014745,833.160621761658
red1,1,screen,3,adaptive_lite,2048,32,0.5,5,3,8,1,5,20,1,1072,10,0.5,21440,924,0.043097014925373135,0,0.07615342715,833.160621761658
red1,1,screen,1,standard,512,16,0.25,3,3,10,0,5,20,10,1104,17,0.85,22080,3,0.0001358695652173913,0,0.06498540300000001,960.8191126279862
red1,1,screen,1,lite,512,16,0.25,3,3,10,0,5,20,10,1104,14,0.7,22080,9,0.0004076086956521739,0,0.09733981440000002,791.2627986348123
red1,1,screen,1,adaptive_lite,512,16,0.25,3,3,10,0,5,20,10,1104,19,0.95,22080,1,4.528985507246377e-5,0,0.09881182740000001,1073.8566552901023
red1,1,screen,1,standard,512,16,0.5,3,4,4,0,5,20,10,2504,1,0.05,50080,308,0.006150159744408946,0,0.09121580015,128.19112627986348
red1,1,screen,1,lite,512,16,0.5,3,4,4,0,5,20,10,2504,1,0.05,50080,2432,0.04856230031948882,0,0.124190897,128.19112627986348
red1,1,screen,1,adaptive_lite,512,16,0.5,3,4,4,0,5,20,10,2504,1,0.05,50080,319,0.006369808306709265,0,0.1544868708,128.19112627986348
red1,1,screen,3,standard,2048,0,0.5,8,3,8,4,5,20,4,4741,0,0.0,94820,28885,0.3046298249314491,0,0.12877005365000002,0.0
red1,1,screen,3,lite,2048,0,0.5,8,3,8,4,5,20,4,4741,2,0.1,94820,8431,0.08891584053997047,0,0.28959469904999996,370.390625
red1,1,screen,3,adaptive_lite,2048,0,0.5,8,3,8,4,5,20,4,4741,2,0.1,94820,8431,0.08891584053997047,0,0.37264051200000003,370.390625
red1,1,screen,1,standard,512,16,0.5,4,3,10,0,5,20,10,2490,14,0.7,49800,405,0.008132530120481927,0,0.07668009925000001,1784.6416382252557
red1,1,screen,1,lite,512,16,0.5,4,3,10,0,5,20,10,2490,1,0.05,49800,12888,0.2587951807228916,0,0.13613617100000003,127.47440273037542
red1,1,screen,1,adaptive_lite,512,16,0.5,4,3,10,0,5,20,10,2490,14,0.7,49800,405,0.008132530120481927,0,0.16225470410000004,1784.6416382252557
red1,1,screen,1,standard,512,16,0.25,10,10,10,0,5,20,10,2036,6,0.3,40720,110,0.0027013752455795677,0,0.07649939435,625.3924914675767
red1,1,screen,1,lite,512,16,0.25,10,10,10,0,5,20,10,2036,1,0.05,40720,6418,0.1576129666011788,0,0.15213469750000003,104.2320819112628
red1,1,screen,1,adaptive_lite,512,16,0.25,10,10,10,0,5,20,10,2036,1,0.05,40720,6459,0.15861984282907662,0,0.23018227754999998,104.2320819112628
red1,1,screen,1,standard,512,16,0.25,3,10,6,0,5,20,10,1496,6,0.3,29920,34,0.0011363636363636363,0,0.0956866317,459.5221843003413
red1,1,screen,1,lite,512,16,0.25,3,10,6,0,5,20,10,1496,8,0.4,29920,113,0.0037767379679144383,0,0.11596467775000001,612.6962457337884
red1,1,screen,1,adaptive_lite,512,16,0.25,3,10,6,0,5,20,10,1496,8,0.4,29920,34,0.0011363636363636363,0,0.14095847915,612.6962457337884
red1,1,screen,2,standard,2048,128,0.125,8,8,3,0,5,20,2,764,0,0.0,15280,4550,0.29777486910994766,0,0.053000069000000004,0.0
red1,1,screen,2,lite,2048,128,0.125,8,8,3,0,5,20,2,764,0,0.0,15280,659,0.0431282722513089,0,0.0777873697,0.0
red1,1,screen,2,adaptive_lite,2048,128,0.125,8,8,3,0,5,20,2,764,0,0.0,15280,659,0.0431282722513089,0,0.08934530285,0.0
red1,1,screen,1,standard,512,16,0.25,3,5,10,0,5,20,10,1328,18,0.9,26560,3,0.00011295180722891567,0,0.08178670595000001,1223.754266211604
red1,1,screen,1,lite,512,16,0.25,3,5,10,0,5,20,10,1328,15,0.75,26560,9,0.000338855421686747,0,0.11937544039999999,1019.7952218430033
red1,1,screen,1,adaptive_lite,512,16,0.25,3,5,10,0,5,20,10,1328,18,0.9,26560,6,0.00022590361445783133,0,0.12275899895,1223.754266211604
red1,1,screen,3,standard,2048,32,0.5,5,5,8,1,5,20,1,1289,0,0.0,25780,8366,0.32451512800620635,0,0.04117752435,0.0
red1,1,screen,3,lite,2048,32,0.5,5,5,8,1,5,20,1,1289,9,0.45,25780,1509,0.058533747090768036,0,0.06850170800000001,901.6321243523316
red1,1,screen,3,adaptive_lite,2048,32,0.5,5,5,8,1,5,20,1,1289,9,0.45,25780,1558,0.0604344453064391,0,0.07199651589999997,901.6321243523316
red1,1,screen,3,standard,1024,64,0.125,3,3,8,1,5,20,1,97,18,0.9,1940,4,0.002061855670103093,0,0.028448681799999997,161.66666666666666
red1,1,screen,3,lite,1024,64,0.125,3,3,8,1,5,20,1,97,20,1.0,1940,0,0.0,0,0.055359206249999994,179.62962962962962
red1,1,screen,3,adaptive_lite,1024,64,0.125,3,3,8,1,5,20,1,97,20,1.0,1940,0,0.0,0,0.035111217949999995,179.62962962962962
red1,1,screen,1,standard,1024,32,0.5,5,10,10,0,5,20,5,3656,2,0.1,73120,11659,0.15945021881838076,0,0.12455651684999998,374.3344709897611
red1,1,screen,1,lite,1024,32,0.5,5,10,10,0,5,20,5,3656,1,0.05,73120,11593,0.15854759299781182,0,0.1761499309,187.16723549488054
red1,1,screen,1,adaptive_lite,1024,32,0.5,5,10,10,0,5,20,5,3656,2,0.1,73120,10236,0.1399890590809628,0,0.20690051385000002,374.3344709897611
red1,1,screen,3,standard,2048,0,0.5,8,5,8,4,5,20,4,5692,0,0.0,113840,36521,0.32080990864371045,0,0.13803026225,0.0
red1,1,screen,3,lite,2048,0,0.5,8,5,8,4,5,20,4,5692,1,0.05,113840,14411,0.1265899508081518,0,0.24772822135,222.34375
red1,1,screen,3,adaptive_lite,2048,0,0.5,8,5,8,4,5,20,4,5692,1,0.05,113840,14726,0.12935699226985242,0,0.33021453770000003,222.34375
red1,1,screen,1,standard,512,16,0.5,4,5,10,0,5,20,10,2992,8,0.4,59840,3957,0.06612633689839573,0,0.09880513454999999,1225.3924914675767
red1,1,screen,1,lite,512,16,0.5,4,5,10,0,5,20,10,2992,1,0.05,59840,13032,0.2177807486631016,0,0.1601944812,153.1740614334471
red1,1,screen,1,adaptive_lite,512,16,0.5,4,5,10,0,5,20,10,2992,8,0.4,59840,4480,0.0748663101604278,0,0.16079741924999996,1225.3924914675767
red1,1,screen,3,standard,2048,32,0.5,8,4,8,1,5,20,1,1322,0,0.0,26440,8145,0.30805597579425115,0,0.0440156477,0.0
red1,1,screen,3,lite,2048,32,0.5,8,4,8,1,5,20,1,1322,4,0.2,26440,2837,0.10729954614220877,0,0.05951947645000001,410.98445595854923
red1,1,screen,3,adaptive_lite,2048,32,0.5,8,4,8,1,5,20,1,1322,4,0.2,26440,2880,0.10892586989409984,0,0.07150033155,410.98445595854923
red1,1,screen,1,standard,512,16,0.5,3,8,10,0,5,20,10,2924,12,0.6,58480,2327,0.03979138166894665,0,0.08424256185,1796.3139931740614
red1,1,screen,1,lite,512,16,0.5,3,8,10,0,5,20,10,2924,1,0.05,58480,12427,0.2125,0,0.15378397824999998,149.6928327645051
red1,1,screen,1,adaptive_lite,512,16,0.5,3,8,10,0,5,20,10,2924,12,0.6,58480,2568,0.043912448700410396,0,0.13720682645,1796.3139931740614
red1,1,screen,1,standard,512,16,0.5,5,3,10,0,5,20,10,2704,12,0.6,54080,1635,0.03023298816568047,0,0.09567067174999999,1661.1604095563139
red1,1,screen,1,lite,512,16,0.5,5,3,10,0,5,20,10,2704,1,0.05,54080,12372,0.22877218934911242,0,0.16682242845,138.4300341296928
red1,1,screen,1,adaptive_lite,512,16,0.5,5,3,10,0,5,20,10,2704,12,0.6,54080,1635,0.03023298816568047,0,0.18056526315000002,1661.1604095563139
red1,1,screen,3,standard,2048,0,0.5,3,3,8,1,5,20,1,890,0,0.0,17800,5182,0.291123595505618,0,0.042351660150000005,0.0
red1,1,screen,3,lite,2048,0,0.5,3,3,8,1,5,20,1,890,12,0.6,17800,198,0.011123595505617978,0,0.06458362264999999,834.375
red1,1,screen,3,adaptive_lite,2048,0,0.5,3,3,8,1,5,20,1,890,12,0.6,17800,198,0.011123595505617978,0,0.1031430721,834.375
red1,1,screen,2,standard,512,0,0.5,8,8,3,0,5,20,10,3834,0,0.0,76680,7141,0.09312728221178926,0,0.07593993815,0.0
red1,1,screen,2,lite,512,0,0.5,8,8,3,0,5,20,10,3834,0,0.0,76680,24596,0.32076160667709963,0,0.09632128125,0.0
red1,1,screen,2,adaptive_lite,512,0,0.5,8,8,3,0,5,20,10,3834,0,0.0,76680,21290,0.27764736567553466,0,0.12960920345,0.0
red1,1,screen,2,standard,2048,128,0.25,5,10,3,4,5,20,4,2921,0,0.0,58420,14390,0.24631975350907223,0,0.11570896189999998,0.0
red1,1,screen,2,lite,2048,128,0.25,5,10,3,4,5,20,4,2921,0,0.0,58420,735,0.012581307771311195,0,0.17204758355,0.0
red1,1,screen,2,adaptive_lite,2048,128,0.25,5,10,3,4,5,20,4,2921,0,0.0,58420,735,0.012581307771311195,0,0.2051831499,0.0
red1,1,screen,2,standard,2048,128,0.25,8,3,3,0,5,20,2,1173,0,0.0,23460,5936,0.25302642796248936,0,0.056287465849999996,0.0
red1,1,screen,2,lite,2048,128,0.25,8,3,3,0,5,20,2,1173,0,0.0,23460,513,0.021867007672634272,0,0.08634529165,0.0
red1,1,screen,2,adaptive_lite,2048,128,0.25,8,3,3,0,5,20,2,1173,0,0.0,23460,513,0.021867007672634272,0,0.108566307,0.0
red1,1,screen,2,standard,2048,128,0.25,4,4,10,4,5,20,4,2276,0,0.0,45520,11104,0.24393673110720562,0,0.12392863674999999,0.0
red1,1,screen,2,lite,2048,128,0.25,4,4,10,4,5,20,4,2276,12,0.6,45520,26,0.0005711775043936731,0,0.2523631829,1024.2
red1,1,screen,2,adaptive_lite,2048,128,0.25,4,4,10,4,5,20,4,2276,12,0.6,45520,26,0.0005711775043936731,0,0.2954598485,1024.2
red1,1,screen,1,standard,512,64,0.25,3,10,10,0,5,20,9,1344,20,1.0,26880,0,0.0,0,0.0537539859,1390.344827586207
red1,1,screen,1,lite,512,64,0.25,3,10,10,0,5,20,9,1344,15,0.75,26880,9,0.0003348214285714286,0,0.08263085135,1042.7586206896553
red1,1,screen,1,adaptive_lite,512,64,0.25,3,10,10,0,5,20,9,1344,20,1.0,26880,0,0.0,0,0.0819268843,1390.344827586207
red1,1,screen,3,standard,2048,0,0.5,4,3,8,4,5,20,4,4058,0,0.0,81160,23546,0.2901182848693938,0,0.13924964574999998,0.0
red1,1,screen,3,lite,2048,0,0.5,4,3,8,4,5,20,4,4058,2,0.1,81160,11590,0.14280433711187776,0,0.27740902545,317.03125
red1,1,screen,3,adaptive_lite,2048,0,0.5,4,3,8,4,5,20,4,4058,2,0.1,81160,11775,0.1450837851158206,0,0.37735168595,317.03125
red1,1,screen,1,standard,512,16,0.5,5,5,10,0,5,20,10,3248,8,0.4,64960,5434,0.08365147783251231,0,0.0809312946,1330.2389078498293
red1,1,screen,1,lite,512,16,0.5,5,5,10,0,5,20,10,3248,0,0.0,64960,15721,0.24201046798029557,0,0.1592078127,0.0
