channel,lane,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,mean_effective_rate_bps,min_effective_rate_bps,mean_psr,ber,decode_seconds
red2,1,lite,2048,64,0.25,3,10,10,4,1240.816326530612,1209.7959183673468,0.6666666666666667,0.0008257949561403508,0.22532889060833333
red2,1,adaptive_lite,2048,64,0.25,3,10,10,4,1240.816326530612,1209.7959183673468,0.6666666666666667,0.0008257949561403508,0.2943178649666667
red2,1,standard,512,16,0.25,3,10,10,0,1199.863481228669,1174.334470989761,0.7833333333333334,0.0002228163992869875,0.07148160507500001
red2,1,adaptive_lite,512,16,0.25,3,10,10,0,1174.334470989761,1174.334470989761,0.7666666666666667,0.000250668449197861,0.11600457996666669
red2,1,lite,512,32,0.25,3,10,10,0,753.020134228188,727.9194630872483,0.5,0.002645944741532977,0.12073956909999997
red2,1,lite,512,16,0.25,3,10,10,0,638.2252559726962,612.6962457337884,0.4166666666666667,0.00401626559714795,0.12109001568333334
red2,1,standard,2048,64,0.25,3,10,10,4,108.57142857142856,62.04081632653061,0.058333333333333334,0.22072711074561405,0.13184803131666667
red2,1,adaptive_lite,1024,64,0.5,5,10,10,0,92.01342281879195,61.34228187919463,0.025,0.17884527716994894,0.20495102953333336
red2,1,lite,1024,64,0.5,5,10,10,0,61.34228187919463,61.34228187919463,0.016666666666666666,0.21338439095550693,0.16072993440833333
red2,1,standard,1024,64,0.5,5,10,10,0,30.671140939597315,0.0,0.008333333333333333,0.1743230306345733,0.099662636025
red2,2,standard,512,32,0.5,3,5,10,0,2062.281879194631,2017.4496644295302,0.7666666666666666,0.01967003493013972,0.08036501375833334
red2,2,adaptive_lite,512,32,0.5,3,5,10,0,2062.281879194631,2017.4496644295302,0.7666666666666666,0.020484031936127745,0.14119108932500002
red2,2,standard,512,32,0.5,3,10,10,0,1867.3825503355704,1867.3825503355704,0.6166666666666667,0.0403978280141844,0.08230136053333333
red2,2,adaptive_lite,512,32,0.5,3,10,10,0,1867.3825503355704,1867.3825503355704,0.6166666666666667,0.046800199468085106,0.1600829064
red2,2,standard,512,32,0.5,3,8,10,0,1815.234899328859,1766.1744966442952,0.6166666666666667,0.038352143182854535,0.09324442547499999
red2,2,adaptive_lite,512,32,0.5,3,8,10,0,1815.234899328859,1766.1744966442952,0.6166666666666667,0.04291210670314637,0.14084884124166663
red2,2,lite,512,32,0.5,3,5,10,0,67.24832214765101,44.83221476510067,0.025,0.19624189121756486,0.1499520556
red2,2,adaptive_lite,1024,64,0.5,5,10,10,0,61.34228187919463,61.34228187919463,0.016666666666666666,0.16212618526622902,0.20895285109166664
red2,2,standard,1024,64,0.5,5,10,10,0,61.34228187919463,61.34228187919463,0.016666666666666666,0.1701084974471189,0.09621356681666668
red2,2,lite,1024,64,0.5,5,10,10,0,0.0,0.0,0.0,0.18202042304886945,0.1694559657166667
red2,2,lite,512,32,0.5,3,10,10,0,0.0,0.0,0.0,0.21070478723404254,0.13673534008333332
red2,2,lite,512,32,0.5,3,8,10,0,0.0,0.0,0.0,0.22136912904696762,0.13403011806666668
red2,3,standard,512,32,0.5,3,10,10,0,2422.5503355704695,2321.6107382550335,0.8,0.014924091312056737,0.08443460091666669
red2,3,adaptive_lite,512,32,0.5,3,10,10,0,2422.5503355704695,2321.6107382550335,0.8,0.015503102836879433,0.12030901700833332
red2,3,standard,512,32,0.5,3,8,10,0,2403.959731543624,2305.8389261744965,0.8166666666666667,0.014554833561331509,0.08146902490833335
red2,3,adaptive_lite,512,32,0.5,3,8,10,0,2403.959731543624,2305.8389261744965,0.8166666666666667,0.015831623347013223,0.11615958828333334
red2,3,standard,512,32,0.5,5,5,10,0,2397.8523489932886,2343.3557046979863,0.7333333333333334,0.022970545977011494,0.09659018774166665
red2,3,adaptive_lite,512,32,0.5,5,5,10,0,2397.8523489932886,2343.3557046979863,0.7333333333333334,0.023778735632183908,0.14867687989166664
red2,3,adaptive_lite,1024,64,0.5,5,10,10,0,705.4362416107382,674.7651006711409,0.19166666666666665,0.1169789387308534,0.20166010454166666
red2,3,standard,1024,64,0.5,5,10,10,0,674.7651006711409,613.4228187919463,0.18333333333333335,0.14027169948942378,0.10419222926666666
red2,3,lite,512,32,0.5,3,10,10,0,75.70469798657719,50.46979865771812,0.025,0.17791722074468086,0.14895603090833334
red2,3,lite,1024,64,0.5,5,10,10,0,61.34228187919463,0.0,0.016666666666666666,0.1549690007293946,0.17158226849166666
red2,3,lite,512,32,0.5,5,5,10,0,54.49664429530201,54.49664429530201,0.016666666666666666,0.20541358784893268,0.15893443563333337
red2,3,lite,512,32,0.5,3,8,10,0,24.530201342281877,0.0,0.008333333333333333,0.19246181030551757,0.16061718488333332
red3,1,standard,512,32,0.5,3,10,10,0,2498.2550335570468,2473.020134228188,0.825,0.010123005319148936,0.08757674702499998
red3,1,adaptive_lite,512,32,0.5,3,10,10,0,2498.2550335570468,2473.020134228188,0.825,0.011040004432624113,0.12276393710833336
red3,1,standard,512,32,0.5,3,10,8,0,2094.496644295302,2069.261744966443,0.6916666666666667,0.0004515735815602837,0.07940025445
red3,1,adaptive_lite,512,32,0.5,3,10,8,0,2094.496644295302,2069.261744966443,0.6916666666666667,0.0004515735815602837,0.14089822188333329
red3,1,standard,512,32,0.5,3,8,8,0,1962.4161073825503,1913.3557046979865,0.6666666666666667,0.000658344733242134,0.09029647269166666
red3,1,adaptive_lite,512,32,0.5,3,8,8,0,1962.4161073825503,1913.3557046979865,0.6666666666666667,0.000658344733242134,0.12914489980000002
red3,1,standard,1024,64,0.5,5,10,10,0,337.3825503355705,245.36912751677852,0.09166666666666667,0.11000866156090446,0.10210624063333334
red3,1,adaptive_lite,1024,64,0.5,5,10,10,0,337.3825503355705,245.36912751677852,0.09166666666666667,0.11449215900802334,0.20762099172499998
red3,1,lite,1024,64,0.5,5,10,10,0,0.0,0.0,0.0,0.20271471553610504,0.17063733817500001
red3,1,lite,512,32,0.5,3,10,8,0,0.0,0.0,0.0,0.22006870567375886,0.13844445657499999
red3,1,lite,512,32,0.5,3,10,10,0,0.0,0.0,0.0,0.23131925975177306,0.13805416545833335
red3,1,lite,512,32,0.5,3,8,8,0,0.0,0.0,0.0,0.23318228454172366,0.12340374433333334
red3,2,standard,512,16,0.5,5,10,10,0,2994.6757679180887,2994.6757679180887,0.8,0.013145058351568198,0.09704133293333335
red3,2,standard,512,16,0.5,5,8,10,0,2971.7747440273038,2911.126279863481,0.8166666666666667,0.012851716375914462,0.09258291734166665
red3,2,adaptive_lite,512,16,0.5,5,8,10,0,2971.7747440273038,2911.126279863481,0.8166666666666667,0.012851716375914462,0.14310608624166665
red3,2,adaptive_lite,512,16,0.5,5,10,10,0,2963.481228668942,2932.286689419795,0.7916666666666667,0.014843180160466813,0.13455081929166668
red3,2,standard,512,32,0.5,5,10,10,0,2944.429530201342,2944.429530201342,0.8,0.011966630196936542,0.09007605675000001
red3,2,adaptive_lite,512,32,0.5,5,10,10,0,2944.429530201342,2944.429530201342,0.8,0.011966630196936542,0.1329491567
red3,2,standard,1024,64,0.5,5,10,10,0,1104.1610738255033,1104.1610738255033,0.3,0.0798732676878191,0.10328873025833332
red3,2,adaptive_lite,1024,64,0.5,5,10,10,0,1104.1610738255033,1104.1610738255033,0.3,0.08078729029905178,0.1966395000666667
red3,2,lite,1024,64,0.5,5,10,10,0,61.34228187919463,61.34228187919463,0.016666666666666666,0.1605055616338439,0.1741728201666667
red3,2,lite,512,16,0.5,5,8,10,0,0.0,0.0,0.0,0.2233610016882386,0.16800648233333337
red3,2,lite,512,32,0.5,5,10,10,0,0.0,0.0,0.0,0.22398796498905907,0.18718622380833333
red3,2,lite,512,16,0.5,5,10,10,0,0.0,0.0,0.0,0.22484500364697302,0.17262223475
red3,3,standard,512,16,0.5,5,10,8,0,3119.4539249146756,2994.6757679180887,0.8333333333333334,0.0053359773887673234,0.04032457166666668
red3,3,adaptive_lite,512,16,0.5,5,10,8,0,3119.4539249146756,2994.6757679180887,0.8333333333333334,0.00649389132020423,0.06378597016666668
red3,3,standard,512,16,0.5,5,10,10,0,3057.0648464163824,2932.286689419795,0.8166666666666667,0.01149936177972283,0.04404334653333332
