workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,bit_errors,success,decode_failure,selected_source,selection_reason,standard_crc_valid,rescue_executed,rescue_is_gradient,rescue_crc_valid,gradient_checkpoints,selected_iteration,optimized_variables,partial_fft_parts,partial_fft_bands
red3:lane3:snr0.0:seed4:frame15,0.0,15,profiled_cz,alpha-stable-impulsive,0.0,47.0,1995,20.770833333333332,21.779687499999998,0.9666666666666667,704,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame16,0.0,16,profiled_cz,alpha-stable-impulsive,0.0,47.0,2137,22.25,23.258854166666666,0.9666666666666667,726,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame17,0.0,17,profiled_cz,alpha-stable-impulsive,0.0,47.0,2280,23.739583333333332,24.748437499999998,0.9666666666666667,711,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame18,0.0,18,profiled_cz,alpha-stable-impulsive,0.0,47.0,2422,25.21875,26.227604166666666,0.9666666666666667,694,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame19,0.0,19,profiled_cz,alpha-stable-impulsive,0.0,47.0,2565,26.708333333333332,27.717187499999998,0.9666666666666667,752,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame20,0.0,20,profiled_cz,alpha-stable-impulsive,0.0,47.0,2707,28.1875,29.196354166666666,0.9666666666666667,702,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame21,0.0,21,profiled_cz,alpha-stable-impulsive,0.0,47.0,2849,29.666666666666668,30.675520833333334,0.9666666666666667,777,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame22,0.0,22,profiled_cz,alpha-stable-impulsive,0.0,47.0,2992,31.15625,32.165104166666666,0.9666666666666667,726,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame23,0.0,23,profiled_cz,alpha-stable-impulsive,0.0,47.0,3134,32.635416666666664,33.64427083333333,0.9666666666666667,746,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame24,0.0,24,profiled_cz,alpha-stable-impulsive,0.0,47.0,3277,34.125,35.133854166666666,0.9666666666666667,756,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame25,0.0,25,profiled_cz,alpha-stable-impulsive,0.0,47.0,3419,35.604166666666664,36.61302083333333,0.9666666666666667,727,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame26,0.0,26,profiled_cz,alpha-stable-impulsive,0.0,47.0,3561,37.083333333333336,38.0921875,0.9666666666666667,690,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame27,0.0,27,profiled_cz,alpha-stable-impulsive,0.0,47.0,3704,38.572916666666664,39.58177083333333,0.9666666666666667,687,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame28,0.0,28,profiled_cz,alpha-stable-impulsive,0.0,47.0,3846,40.052083333333336,41.0609375,0.9666666666666667,766,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame29,0.0,29,profiled_cz,alpha-stable-impulsive,0.0,47.0,3989,41.541666666666664,42.55052083333333,0.9666666666666667,681,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame30,0.0,30,profiled_cz,alpha-stable-impulsive,0.0,47.0,4131,43.020833333333336,44.0296875,0.9666666666666667,741,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
