channel,lane,seed,frames,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps,refinement_selected_frames,joint_cwz_accepted_steps,joint_cwz_rejected_steps,selection_reasons
red1,2,7,60,cz_refinement,2048,0,0.5,3,4,8,4,4,4064,37,0.6166666666666667,243840,1972,0.00808727034120735,0,0.7134571422666665,1957.9166666666667,1,0,0,crc_fallback:23;crc_rescue:1;lite_crc_valid_skip:36
red1,2,7,60,joint_cwz,2048,0,0.5,3,4,8,4,4,4064,37,0.6166666666666667,243840,1972,0.00808727034120735,0,0.4864996535666666,1957.9166666666667,1,192,0,crc_fallback:23;crc_rescue:1;lite_crc_valid_skip:36
red1,2,6,60,lite,1024,16,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,36280,0.16539022611232676,0,0.20231153056666665,62.92598967297762,0,0,0,
red1,2,6,60,cz_refinement,1024,16,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,36280,0.16539022611232676,0,0.8890802717333334,62.92598967297762,0,0,0,crc_fallback:59;lite_crc_valid_skip:1
red1,2,6,60,joint_cwz,1024,16,0.5,5,10,10,0,5,3656,1,0.016666666666666666,219360,36280,0.16539022611232676,0,0.7453812635,62.92598967297762,0,472,0,crc_fallback:59;lite_crc_valid_skip:1
red1,2,7,60,lite,1024,16,0.5,5,10,10,0,5,3656,0,0.0,219360,36340,0.16566374908825673,0,0.2352261413,0.0,0,0,0,
red1,2,7,60,cz_refinement,1024,16,0.5,5,10,10,0,5,3656,0,0.0,219360,36340,0.16566374908825673,0,1.1030481391166667,0.0,0,0,0,crc_fallback:60
red1,2,7,60,joint_cwz,1024,16,0.5,5,10,10,0,5,3656,0,0.0,219360,36340,0.16566374908825673,0,0.8865470355166666,0.0,0,480,0,crc_fallback:60
red1,3,6,60,lite,2048,128,0.5,5,10,8,4,4,5859,50,0.8333333333333334,351540,1118,0.0031802924276042558,0,0.26057198779999996,3661.875,0,0,0,
red1,3,6,60,cz_refinement,2048,128,0.5,5,10,8,4,4,5859,50,0.8333333333333334,351540,1118,0.0031802924276042558,0,0.48452330145000005,3661.875,0,0,0,crc_fallback:10;lite_crc_valid_skip:50
red1,3,6,60,joint_cwz,2048,128,0.5,5,10,8,4,4,5859,50,0.8333333333333334,351540,1118,0.0031802924276042558,0,0.39829453791666664,3661.875,0,80,0,crc_fallback:10;lite_crc_valid_skip:50
red1,3,7,60,lite,2048,128,0.5,5,10,8,4,4,5859,49,0.8166666666666667,351540,1531,0.004355123172327473,0,0.27080662603333333,3588.6375,0,0,0,
red1,3,7,60,cz_refinement,2048,128,0.5,5,10,8,4,4,5859,49,0.8166666666666667,351540,1531,0.004355123172327473,0,0.52550983055,3588.6375,0,0,0,crc_fallback:11;lite_crc_valid_skip:49
red1,3,7,60,joint_cwz,2048,128,0.5,5,10,8,4,4,5859,49,0.8166666666666667,351540,1531,0.004355123172327473,0,0.44186464775,3588.6375,0,88,0,crc_fallback:11;lite_crc_valid_skip:49
red1,3,6,60,lite,512,32,0.5,5,10,10,0,10,3656,0,0.0,219360,41608,0.18967906637490883,0,0.22773274578333338,0.0,0,0,0,
red1,3,6,60,cz_refinement,512,32,0.5,5,10,10,0,10,3656,0,0.0,219360,41608,0.18967906637490883,0,1.10084776845,0.0,0,0,0,crc_fallback:60
red1,3,6,60,joint_cwz,512,32,0.5,5,10,10,0,10,3656,0,0.0,219360,41608,0.18967906637490883,0,0.8064652633333331,0.0,0,480,0,crc_fallback:60
red1,3,7,60,lite,512,32,0.5,5,10,10,0,10,3656,0,0.0,219360,41803,0.19056801604668125,0,0.19994181446666673,0.0,0,0,0,
red1,3,7,60,cz_refinement,512,32,0.5,5,10,10,0,10,3656,0,0.0,219360,41803,0.19056801604668125,0,1.0124077233166666,0.0,0,0,0,crc_fallback:60
red1,3,7,60,joint_cwz,512,32,0.5,5,10,10,0,10,3656,0,0.0,219360,41803,0.19056801604668125,0,0.8187539238333333,0.0,0,480,0,crc_fallback:60
red1,3,6,60,lite,512,32,0.5,8,8,10,0,10,3834,0,0.0,230040,72171,0.3137323943661972,0,0.18998268645,0.0,0,0,0,
red1,3,6,60,cz_refinement,512,32,0.5,8,8,10,0,10,3834,0,0.0,230040,72171,0.3137323943661972,0,0.9432488823833334,0.0,0,0,0,crc_fallback:60
red1,3,6,60,joint_cwz,512,32,0.5,8,8,10,0,10,3834,0,0.0,230040,72171,0.3137323943661972,0,0.7472578319166666,0.0,0,480,0,crc_fallback:60
red1,3,7,60,lite,512,32,0.5,8,8,10,0,10,3834,0,0.0,230040,68299,0.2969005390366893,0,0.18227634823333333,0.0,0,0,0,
red1,3,7,60,cz_refinement,512,32,0.5,8,8,10,0,10,3834,0,0.0,230040,68299,0.2969005390366893,0,0.9733502279000003,0.0,0,0,0,crc_fallback:60
red1,3,7,60,joint_cwz,512,32,0.5,8,8,10,0,10,3834,0,0.0,230040,68299,0.2969005390366893,0,0.73596477065,0.0,0,480,0,crc_fallback:60
red1,3,6,60,lite,1024,16,0.5,5,10,10,0,5,3656,44,0.7333333333333333,219360,3094,0.014104668125455872,0,0.1574245323333333,2768.7435456110156,0,0,0,
red1,3,6,60,cz_refinement,1024,16,0.5,5,10,10,0,5,3656,44,0.7333333333333333,219360,3094,0.014104668125455872,0,0.35492313340000003,2768.7435456110156,0,0,0,crc_fallback:16;lite_crc_valid_skip:44
red1,3,6,60,joint_cwz,1024,16,0.5,5,10,10,0,5,3656,44,0.7333333333333333,219360,3094,0.014104668125455872,0,0.26886817518333334,2768.7435456110156,0,128,0,crc_fallback:16;lite_crc_valid_skip:44
red1,3,7,60,lite,1024,16,0.5,5,10,10,0,5,3656,44,0.7333333333333333,219360,4497,0.02050054704595186,0,0.16970981633333332,2768.7435456110156,0,0,0,
red1,3,7,60,cz_refinement,1024,16,0.5,5,10,10,0,5,3656,44,0.7333333333333333,219360,4497,0.02050054704595186,0,0.3652171649166666,2768.7435456110156,0,0,0,crc_fallback:16;lite_crc_valid_skip:44
red1,3,7,60,joint_cwz,1024,16,0.5,5,10,10,0,5,3656,44,0.7333333333333333,219360,4497,0.02050054704595186,0,0.299853067,2768.7435456110156,0,128,0,crc_fallback:16;lite_crc_valid_skip:44
red2,1,6,60,lite,512,16,0.25,3,10,10,0,10,1496,26,0.43333333333333335,89760,416,0.004634581105169341,0,0.14943282988333328,663.7542662116041,0,0,0,
red2,1,6,60,cz_refinement,512,16,0.25,3,10,10,0,10,1496,26,0.43333333333333335,89760,416,0.004634581105169341,0,0.437847304,663.7542662116041,0,0,0,crc_fallback:34;lite_crc_valid_skip:26
red2,1,6,60,joint_cwz,512,16,0.25,3,10,10,0,10,1496,26,0.43333333333333335,89760,416,0.004634581105169341,0,0.28634200615,663.7542662116041,0,272,0,crc_fallback:34;lite_crc_valid_skip:26
red2,1,7,60,lite,512,16,0.25,3,10,10,0,10,1496,24,0.4,89760,305,0.0033979500891265597,0,0.14703650406666666,612.6962457337884,0,0,0,
red2,1,7,60,cz_refinement,512,16,0.25,3,10,10,0,10,1496,24,0.4,89760,305,0.0033979500891265597,0,0.5255453804833333,612.6962457337884,0,0,0,crc_fallback:36;lite_crc_valid_skip:24
red2,1,7,60,joint_cwz,512,16,0.25,3,10,10,0,10,1496,24,0.4,89760,305,0.0033979500891265597,0,0.36571786696666664,612.6962457337884,0,288,0,crc_fallback:36;lite_crc_valid_skip:24
red2,1,6,60,lite,2048,64,0.25,3,10,10,4,4,2432,39,0.65,145920,85,0.0005825109649122807,0,0.3016092726833333,1209.7959183673468,0,0,0,
red2,1,6,60,cz_refinement,2048,64,0.25,3,10,10,4,4,2432,39,0.65,145920,85,0.0005825109649122807,0,0.6304952227333335,1209.7959183673468,0,0,0,crc_fallback:21;lite_crc_valid_skip:39
red2,1,6,60,joint_cwz,2048,64,0.25,3,10,10,4,4,2432,40,0.6666666666666666,145920,84,0.000575657894736842,0,0.4929227725666667,1240.816326530612,1,168,0,crc_fallback:20;crc_rescue:1;lite_crc_valid_skip:39
red2,1,7,60,lite,2048,64,0.25,3,10,10,4,4,2432,41,0.6833333333333333,145920,156,0.0010690789473684211,0,0.29878265705,1271.8367346938774,0,0,0,
red2,1,7,60,cz_refinement,2048,64,0.25,3,10,10,4,4,2432,43,0.7166666666666667,145920,154,0.0010553728070175439,0,0.6690017534666666,1333.877551020408,2,0,0,crc_fallback:17;crc_rescue:2;lite_crc_valid_skip:41
red2,1,7,60,joint_cwz,2048,64,0.25,3,10,10,4,4,2432,43,0.7166666666666667,145920,154,0.0010553728070175439,0,0.4720912232666667,1333.877551020408,2,152,0,crc_fallback:17;crc_rescue:2;lite_crc_valid_skip:41
red2,1,6,60,lite,512,32,0.25,3,10,10,0,10,1496,31,0.5166666666666667,89760,229,0.002551247771836007,0,0.16845614830000002,778.1208053691275,0,0,0,
